category,jnds,dens,exp_condition,line_len
in_category,11.73,0.052412519597818855,right,266
in_category,11.88,0.05908387156531602,right,268
in_category,12.77,0.10714097454547687,right,280
in_category,12.22,0.07592211304320527,right,272
in_category,12.85,0.11193803803905741,right,281
in_category,12.69,0.10238553945890122,right,279
in_category,13.03,0.12281086468240218,right,283
in_category,13.54,0.15282721758279325,right,290
in_category,13.69,0.16097442258170533,right,293
in_category,13.97,0.17471315003667054,right,297
in_category,13.06,0.12462484523202096,right,284
in_category,13.06,0.12462484523202096,right,284
in_category,14.54,0.1942814704981104,right,305
in_category,14.42,0.1912741972767203,right,303
in_category,14.81,0.19859061335325523,right,309
in_category,14.6,0.19553863598307966,right,306
in_category,14.11,0.180683247865186,right,299
in_category,14.98,0.19947880426737585,right,312
in_category,14.5,0.19335115398555663,right,304
in_category,14.71,0.19740263716562503,right,307
in_category,15.17,0.19876942535860576,right,314
in_category,15.24,0.1980576176136971,right,316
in_category,15.01,0.19948628486279618,right,312
in_category,15.5,0.19335115398555663,right,320
in_category,15.67,0.18860322814529165,right,322
in_category,15.67,0.18860322814529165,right,322
in_category,15.51,0.19310720218062974,right,320
in_category,15.47,0.19405574951439816,right,319
in_category,16.31,0.1609744225817054,right,332
in_category,16.84,0.1306547027588974,right,341
in_category,16.9,0.12704076083378138,right,342
in_category,16.38,0.15722973033971321,right,334
in_category,16.15,0.16909242964823867,right,330
in_category,16.74,0.13663429626965407,right,339
in_category,17.65,0.08292573816669706,right,355
in_category,17.69,0.0807409180987098,right,356
in_category,17.92,0.06871434517699788,right,360
in_category,17.44,0.09477995923250986,right,351
in_category,18.29,0.05155996433806421,right,366
in_category,18.29,0.05155996433806421,right,366
